"media","SBM category label"
"Correiodoestado.com.br","Regional/Local media outlets"
"Correiodoimbe.com.br","Regional/Local media outlets"
"Correiodolago.com.br","Center"
"Correiodolitoral.com","Regional/Local media outlets"
"Correiodopara.com.br","Regional/Local media outlets"
"Correiodopoder.com","Regional/Local media outlets"
"Correiodopovo-Al.com.br","Regional/Local media outlets"
"Correiodopovo.com.br","Regional/Local media outlets"
"Correiodosul.com","Regional/Local media outlets"
"Correiodovale.com.br","Regional/Local media outlets"
"Correioweb.com.br","Center"
"Criticanacional.com.br","Opinion journalism right"
"Crusoe.com.br","Opinion journalism right"
"D24am.com","Regional/Local media outlets"
"Dci.com.br","Opinion journalism right"
"Deolhonosruralistas.com.br","Specific progressive themes"
"Desacato.info","Opinion journalism left"
"Destaquecatarina.com.br","Regional/Local media outlets"
"Diarinho.net","Center"
"Diariobahia.com.br","Regional/Local media outlets"
"Diariodaamazonia.com.br","Regional/Local media outlets"
"Diariodamanha.com","Regional/Local media outlets"
"Diariodaregiao.com.br","Opinion journalism left"
"Diariodeaparecida.com.br","Regional/Local media outlets"
"Diariodecuiaba.com.br","Regional/Local media outlets"
"Diariodepernambuco.com.br","Center"
"Diariodigital.com.br","Regional/Local media outlets"
"Diariodoaco.com.br","Regional/Local media outlets"
"Diariodocentrodomundo.com.br","Opinion journalism left"
"Diariodocomercio.com.br","Regional/Local media outlets"
"Diariodoestadogo.com.br","Regional/Local media outlets"
"Diariodolitoral.com.br","Regional/Local media outlets"
"Diariodopoder.com.br","Opinion journalism right"
"Diariodorio.com","Opinion journalism right"
"Diariodovale.com.br","Regional/Local media outlets"
"Diarioms.com.br","Center"
"Diarionews.com.br","Regional/Local media outlets"
"Diarioonline.com.br","Center"
"Diariopotiguar.com.br","Regional/Local media outlets"
"Dinheirorural.com.br","Center"
"Dowbor.org","Opinion journalism left"
"Eb.mil.br","Regional/Local media outlets"
"Ebc.com.br","Hyper center media"
"Ecodebate.com.br","Opinion journalism left"
"Ecosdanoticia.net.br","Center"
"Em.com.br","Center"
"Emaisgoias.com.br","Regional/Local media outlets"
"Emtempo.com.br","Regional/Local media outlets"
"Energiaeambiente.org.br","Specific progressive themes"
"Envolverde.com.br","Specific progressive themes"
"Eshoje.com.br","Specific progressive themes"
"Esquerda.net","Opinion journalism left"
"Esquerdadiario.com.br","Opinion journalism left"
"Esquerdaonline.com.br","Opinion journalism left"
"Esquinademocratica.com","Opinion journalism left"
"Estadao.com.br","Center"
"Estadaomatogrosso.com.br","Regional/Local media outlets"
"Estudosnacionais.com","Opinion journalism right"
"Exame.com","Center"
"Fab.mil.br","Regional/Local media outlets"
"Fanoticias.com.br","Regional/Local media outlets"
"Fatonovo.com.br","Regional/Local media outlets"
"Faunanews.com.br","Specific progressive themes"
"Fdr.com.br","Regional/Local media outlets"
"Fianbrasil.org.br","Specific progressive themes"
"Fique-De-Olho-Digital.com.br","Regional/Local media outlets"
"Fiquemsabendo.com.br","Specific progressive themes"
"Flipboard.com","Center"
"Focoregional.com.br","Regional/Local media outlets"
"Folha.com.br","Center"
"Folha1.com.br","Opinion journalism right"
"Folhabv.com.br","Regional/Local media outlets"
"Folhacapital.com.br","Regional/Local media outlets"
"Folhacentrooeste.blog.br","Regional/Local media outlets"
"Folhadapolitica.com","Opinion journalism right"
"Folhadealagoas.com.br","Regional/Local media outlets"
"Folhadecolider.com.br","Center"
"Folhaderondonianews.com","Regional/Local media outlets"
"Folhadoacre.com.br","Regional/Local media outlets"
"Folhadobico.com.br","Regional/Local media outlets"
"Folhadoes.com","Center"
"Folhadointerior.com.br","Regional/Local media outlets"
"Folhadolitoral.com.br","Regional/Local media outlets"
"Folhadonordeste.com.br","Regional/Local media outlets"
"Folhadopara.com","Regional/Local media outlets"
"Folhadopara.com.br","Regional/Local media outlets"
"Folhadoprogresso.com.br","Specific progressive themes"
"Folhadosul.com.br","Center"
"Folhadosulonline.com.br","Regional/Local media outlets"
"Folhadotocantins.com.br","Opinion journalism right"
"Folhagospel.com","Opinion journalism right"
"Folhainterior.com.br","Regional/Local media outlets"
"Folhalitoral.com.br","Regional/Local media outlets"
"Folhamax.com","Regional/Local media outlets"
"Folhanobre.com.br","Regional/Local media outlets"
"Folhape.com.br","Center"
"Folhapolitica.org","Regional/Local media outlets"
"Folhapopular.net.br","Regional/Local media outlets"
"Folharegionalbahia.com.br","Center"
"Folharegionalonline.com","Regional/Local media outlets"
"Folharondoniense.com.br","Regional/Local media outlets"
"Folhasertaneja.com.br","Regional/Local media outlets"
"Folhavitoria.com.br","Regional/Local media outlets"
"Folhaz.com.br","Regional/Local media outlets"
"Forumseguranca.org.br","Specific progressive themes"
"Fpop.com.br","Regional/Local media outlets"
"Fundosocialelas.org","Specific progressive themes"
"Gaudiumpress.org","Regional/Local media outlets"
"Gazetabrasil.com.br","Opinion journalism right"
"Gazetadealagoas.com.br","Regional/Local media outlets"
"Gazetadenoticias.com","Regional/Local media outlets"
"Gazetaderondonia.com.br","Regional/Local media outlets"
"Gazetadigital.com.br","Regional/Local media outlets"
"Gazetadopovo.com.br","Opinion journalism right"
"Gazetadosvales.com.br","Regional/Local media outlets"
"Gazetaonline.com.br","Regional/Local media outlets"
"Gazetapopular.com","Regional/Local media outlets"
"Gazetasp.com.br","Regional/Local media outlets"
"Geledes.org.br","Specific progressive themes"
"Generonumero.media","Specific progressive themes"
"Globo.com","Hyper center media"
"Goiasinterior.com.br","Regional/Local media outlets"
"Gospelmais.com.br","Opinion journalism right"
"Gospelprime.com.br","Opinion journalism right"
"Gujsp.com.br","Regional/Local media outlets"
"Hojecentrosul.com.br","Regional/Local media outlets"
"Hojeemdia.com.br","Center"
"Horaagha.com.br","Regional/Local media outlets"
"Horadopovo.com.br","Center"
"Ibirapitanga.org.br","Specific progressive themes"
"Idec.org.br","Specific progressive themes"
"Ig.com.br","Hyper center media"
"Ilisp.org","Opinion journalism right"
"Imirante.com","Center"
"Impactopr.com.br","Opinion journalism right"
"Imprensabrasil.com.br","Regional/Local media outlets"
"Independente.jor.br","Opinion journalism left"
"Infoamazonia.org","Specific progressive themes"
"Infomoney.com.br","Center"
"Inpe.br","Center"
"Institutoliberal.org.br","Opinion journalism right"
"Institutomillenium.org.br","Opinion journalism right"
"Intervozes.org.br","Specific progressive themes"
"Ipe.org.br","Specific progressive themes"
"Istoe.com.br","Center"
"Istoedinheiro.com.br","Center"
"Itatiaia.com.br","Regional/Local media outlets"
"Itaucultural.org.br","Specific progressive themes"
"Itausocial.org.br","Specific progressive themes"
"Itsrio.org","Specific progressive themes"
"Jb.com.br","Opinion journalism left"
"Jcam.com.br","Opinion journalism right"
"Jd1noticias.com","Regional/Local media outlets"
"Jdia.com.br","Center"
"Jmonline.com.br /novo","Center"
"Jopioneiro.com","Regional/Local media outlets"
"Jopsc.com.br","Regional/Local media outlets"
"Jornal140.com","Center"
"Jornalacorda.com.br","Regional/Local media outlets"
"Jornaladvogado.com.br","Regional/Local media outlets"
"Jornalaguaverde.com.br","Opinion journalism left"
"Jornalalerta.com.br","Regional/Local media outlets"
"Jornalanoticia.com","Regional/Local media outlets"
"Jornalapraca.com.br","Regional/Local media outlets"
"Jornalatual.com.br","Regional/Local media outlets"
"Jornalavozdoparana.com.br","Regional/Local media outlets"
"Jornalaw.com.br","Center"
"Jornalbeirario.com.br","Regional/Local media outlets"
"Jornalboavista.com.br","Regional/Local media outlets"
"Jornalcapitaldeminas.com.br","Opinion journalism left"
"Jornalcarangola.com","Center"
"Jornalceleiro.com.br","Regional/Local media outlets"
"Jornalcidademg.com.br","Center"
"Jornalcidadesdaserra.com.br","Regional/Local media outlets"
"Jornalclassifique.com","Regional/Local media outlets"
"Jornalcomunidadeemdestaque.com","Regional/Local media outlets"
"Jornalcorreiocacerense.com.br","Regional/Local media outlets"
"Jornalcorreiodovale.com.br","Regional/Local media outlets"
"Jornalcorreiopopular.com.br","Center"
"Jornaldacidade.net","Regional/Local media outlets"
"Jornaldacidadeonline.com.br","Opinion journalism right"
"Jornaldafronteira.com.br","Regional/Local media outlets"
"Jornaldasalagoas.com.br","Regional/Local media outlets"
"Jornaldebrasilia.com.br","Center"
"Jornaldesafio.com.br","Regional/Local media outlets"
"Jornaldesergipe.com.br","Regional/Local media outlets"
"Jornaldocariri.com.br","Regional/Local media outlets"
"Jornaldocomercio.com","Center"
"Jornaldodf.com.br","Regional/Local media outlets"
"Jornaldomar.com.br","Regional/Local media outlets"
"Jornaldomediovale.com.br","Regional/Local media outlets"
"Jornaldomercado.com.br","Regional/Local media outlets"
"Jornaldoonibusms.com.br","Center"
"Jornaldopovoparana.com.br","Regional/Local media outlets"
"Jornaldosertaope.com.br","Regional/Local media outlets"
"Jornaldosol.com.br","Regional/Local media outlets"
"Jornaldosudoeste.com","Center"
"Jornaldotocantins.com.br","Center"
"Jornaldovale.com","Regional/Local media outlets"
"Jornalemdestaque.com","Center"
"Jornalempresasenegocios.com.br","Regional/Local media outlets"
"Jornalemtempo.com","Regional/Local media outlets"
"Jornalentrevista.com.br","Regional/Local media outlets"
"Jornalestacao.com.br","Regional/Local media outlets"
"Jornalevolucao.com.br","Regional/Local media outlets"
"Jornalfato.com.br","Regional/Local media outlets"
"Jornalfatos.com.br","Center"
"Jornalfiquesabendo.com.br","Hyper center media"
"Jornalfolhaaraguaia.com.br","Regional/Local media outlets"
"Jornalfolhadoestado.com","Regional/Local media outlets"
"Jornalfr.blogspot.com","Center"
"Jornalgazetadooeste.com.br","Regional/Local media outlets"
"Jornalggn.com.br","Opinion journalism left"
"Jornalgoias.com.br","Regional/Local media outlets"
"Jornalhoje.inf.br","Regional/Local media outlets"
"Jornalhoraextra.com.br","Regional/Local media outlets"
"Jornalintegracao.com","Regional/Local media outlets"
"Jornalismocolaborativo.com","Opinion journalism left"
"Jornalistaslivres.org","Opinion journalism left"
"Jornalmanancial.com.br","Specific progressive themes"
"Jornalmetamorfose.com","Specific progressive themes"
"Jornalmetas.com.br","Regional/Local media outlets"
"Jornalminuano.com.br","Regional/Local media outlets"
"Jornalmomento.com.br","Regional/Local media outlets"
"Jornalnh.com.br","Regional/Local media outlets"
"Jornalnovafronteira.com.br","Regional/Local media outlets"
"Jornaloeste.com.br","Center"
"Jornalopainel.com","Regional/Local media outlets"
"Jornalopcao.com.br","Center"
"Jornalopiniao.net","Regional/Local media outlets"
"Jornalprimeirapagina.com","Regional/Local media outlets"
"Jornalrepercussao.com.br","Regional/Local media outlets"
"Jornalsaoleo.com.br","Regional/Local media outlets"
"Jornalsemanario.com.br","Regional/Local media outlets"
"Jornaltribunalivre.com","Regional/Local media outlets"
"Jornaluniao.com.br","Opinion journalism right"
"Jornalvozdooeste.com.br","Regional/Local media outlets"
"Jornalvr.com.br","Regional/Local media outlets"
"Jornalvs.com.br","Regional/Local media outlets"
"Jota.info","Center"
"Jovempan.com.br","Center"
"Jovemsulnews.com.br","Regional/Local media outlets"
"Jplmais.com","Regional/Local media outlets"
"Jreporterdoaraguaia.com","Opinion journalism right"
"Libercracia.org","Opinion journalism right"
"Linhapopular.com.br","Regional/Local media outlets"
"Madeiraoweb.com.br","Regional/Local media outlets"
"Marcozero.org","Specific progressive themes"
"Mareonline.com.br","Specific progressive themes"
"Marinha.mil.br","Hyper center media"
"Matinaljornalismo.com.br","Specific progressive themes"
"Mbc.org.br","Regional/Local media outlets"
"Meionorte.com","Center"
"Metrojornal.com.br","Center"
"Metropoles.com","Hyper center media"
"Mgturismo.com.br","Regional/Local media outlets"
"Midiacaete.com.br","Specific progressive themes"
"Midiamax.com.br","Regional/Local media outlets"
"Midianews.com.br","Regional/Local media outlets"
"Midianinja.org","Specific progressive themes"
"Midiasemmascara.net","Opinion journalism right"
"Migalhas.com.br","Center"
"Minutonordeste.com.br","Opinion journalism left"
"Mises.org.br","Opinion journalism right"
"Monitordooriente.com","Opinion journalism left"
"Monitormercantil.com.br","Opinion journalism left"
"Mpf.mp.br","Center"
"Mpl.org.br","Opinion journalism left"
"Msn.com /.../noticias","Center"
"Mtdiario.com.br","Regional/Local media outlets"
"Ndmais.com.br","Center"
"Nexojornal.com.br","Specific progressive themes"
"Nonada.com.br","Specific progressive themes"
"Nosmulheresdaperiferia.com.br","Specific progressive themes"
"Noticiadedireitaurgente.com.br","Opinion journalism right"
"Noticiapreta.com.br","Specific progressive themes"
"Noticiasagricolas.com.br","Opinion journalism right"
"Noticiasdahora.com.br","Regional/Local media outlets"
"Noticiasparana.com","Regional/Local media outlets"
"Notisul.com.br","Regional/Local media outlets"
"Novoeste.com","Opinion journalism left"
"Nsctotal.com.br","Center"
"Nucleo.jor.br","Specific progressive themes"
"Oaltoacre.com","Regional/Local media outlets"
"Oantagonista.com","Opinion journalism right"
"Oantagonista.net","Opinion journalism right"
"Oatlantico.com.br","Regional/Local media outlets"
"Oatual.com.br","Regional/Local media outlets"
"Obastidor.com.br","Regional/Local media outlets"
"Observatoriodaimprensa.com.br","Specific progressive themes"
"Observatoriodamineracao.com.br","Specific progressive themes"
"Obuxixogospel.com.br","Regional/Local media outlets"
"Ocafezinho.com","Opinion journalism left"
"Ocombatente.com","Regional/Local media outlets"
"Ocorreio.com.br","Regional/Local media outlets"
"Ocorreiodedeus.com.br","Opinion journalism right"
"Ocorreionews.com.br","Regional/Local media outlets"
"Oeco.com.br","Center"
"Oeco.org.br","Specific progressive themes"
"Oecojornal.com.br","Regional/Local media outlets"
"Oestadoacre.com","Regional/Local media outlets"
"Oestegoiano.com.br","Regional/Local media outlets"
"Ofolhademinas.com.br","Regional/Local media outlets"
"Oiceberg.com.br","Opinion journalism left"
"Oimpacto.com.br","Regional/Local media outlets"
"Oimparcial.com.br","Regional/Local media outlets"
"Ojoioeotrigo.com.br","Specific progressive themes"
"Ojornalonline.com.br","Regional/Local media outlets"
"Olhardigital.com.br","Center"
"Olhardireto.com.br","Regional/Local media outlets"
"Oliberal.com","Specific progressive themes"
"Oliberalnews.com.br","Regional/Local media outlets"
"Omamore.com","Regional/Local media outlets"
"Omatogrosso.com","Regional/Local media outlets"
"Onjornal.com","Center"
"Onortao.com.br","Regional/Local media outlets"
"Onumulheres.org.br","Specific progressive themes"
"Oobservador.com.br","Regional/Local media outlets"
"Opantaneiro.com.br","Regional/Local media outlets"
"Opopular.com.br","Center"
"Opopular.net","Regional/Local media outlets"
"Opovo.com.br","Center"
"Oprogressonet.com","Center"
"Oquartopoder.com","Regional/Local media outlets"
"Oriobranco.net","Regional/Local media outlets"
"Osollo.com.br","Regional/Local media outlets"
"Osul.com.br","Regional/Local media outlets"
"Otempo.com.br","Center"
"Otvfoco.com.br","Regional/Local media outlets"
"Outraspalavras.net","Opinion journalism left"
"Ovetor.com.br","Regional/Local media outlets"
"Ovigilanteonline.com.br","Regional/Local media outlets"
"Paginanet.com.br","Regional/Local media outlets"
"Paragrafo2.com.br","Opinion journalism left"
"Paranacentro.com.br","Regional/Local media outlets"
"Perfil.com","Center"
"Periferiaemmovimento.com.br","Specific progressive themes"
"Pinzon.com.br","Regional/Local media outlets"
"Planetafolha.com.br","Regional/Local media outlets"
"Plantao190.com.br","Regional/Local media outlets"
"Pleno.news","Opinion journalism right"
"Plural.jor.br","Specific progressive themes"
"Poder360.com.br","Center"
"Politicaporinteiro.org","Specific progressive themes"
"Ponte.org","Specific progressive themes"
"Popularonline.com.br","Regional/Local media outlets"
"Portalbelohorizonte.com.br","Center"
"Portalcidade.news","Opinion journalism right"
"Portaldenoticias.com.br","Regional/Local media outlets"
"Portalfo.com.br","Regional/Local media outlets"
"Portalgrpcom.com.br","Regional/Local media outlets"
"Portalimprensa.com.br","Specific progressive themes"
"Portalnovonorte.com.br","Regional/Local media outlets"
"Portalodia.com","Center"
"Potiguarnoticias.com.br","Center"
"Pragmatismopolitico.com.br","Opinion journalism left"
"Projetocolabora.com.br","Specific progressive themes"
"Projetocomprova.com.br","Specific progressive themes"
"Puggina.org","Opinion journalism right"
"Quatrocincoum.com.br","Specific progressive themes"
"Questione-Se.com","Regional/Local media outlets"
"R7.com","Hyper center media"
"Rac.com.br","Opinion journalism right"
"Radiotaquara.com.br","Regional/Local media outlets"
"Radioyande.com","Specific progressive themes"
"Rcnonline.com.br","Regional/Local media outlets"
"Rcr.org.br","Regional/Local media outlets"
"Rd1.com.br","Center"
"Rdnews.com.br","Regional/Local media outlets"
"Recordnewstv.com.br","Regional/Local media outlets"
"Redebrasilatual.com.br","Opinion journalism left"
"Regionalmt.com.br","Regional/Local media outlets"
"Rendabasica.org.br","Specific progressive themes"
"Reporterbrasil.org.br","Specific progressive themes"
"Republicadecuritiba.net","Opinion journalism right"
"Revistaafirmativa.com.br","Specific progressive themes"
"Revistacontinente.com.br","Specific progressive themes"
"Revistaforum.com.br","Opinion journalism left"
"Revistaoeste.com","Opinion journalism right"
"Ricmais.com.br","Center"
"Rondoniadinamica.com","Regional/Local media outlets"
"Rondoniagora.com","Regional/Local media outlets"
"Rondoniaovivo.com","Regional/Local media outlets"
"Roraimaemtempo.com.br","Regional/Local media outlets"
"Rscportal.com.br","Regional/Local media outlets"
"Saibamais.jor.br","Specific progressive themes"
"Sbt.com.br","Center"
"Sbtnews.com.br","Center"
"Sdnews.com.br","Regional/Local media outlets"
"Seculodiario.com.br","Regional/Local media outlets"
"Semana7.com","Regional/Local media outlets"
"Senado.leg.br","Hyper center media"
"Sensoincomum.org","Opinion journalism right"
"Sertaohoje.com.br","Regional/Local media outlets"
"Servidorpublicoms.com.br","Opinion journalism left"
"Sesisp.org.br","Center"
"Social.org.br","Opinion journalism left"
"Soudesergipe.com.br","Regional/Local media outlets"
"Stylourbano.com.br","Opinion journalism right"
"Sul21.com.br","Opinion journalism left"
"Tconline.com.br","Regional/Local media outlets"
"Techtudo.com.br","Regional/Local media outlets"
"Tecmundo.com.br","Center"
"Tecnoblog.net","Center"
"Tercalivre.com.br","Opinion journalism right"
"Terra.com.br","Hyper center media"
"Terrabrasilnoticias.com","Opinion journalism right"
"Terracoeconomico.com.br","Opinion journalism right"
"Terrasantanoticias.com.br","Center"
"Theintercept.com /brasil","Specific progressive themes"
"Tijolaco.net","Opinion journalism left"
"Todahoraweb.com","Regional/Local media outlets"
"Trabalhoindigenista.org.br","Regional/Local media outlets"
"Transparencia.org.br","Specific progressive themes"
"Trbn.com.br","Regional/Local media outlets"
"Tribunabm.com.br","Regional/Local media outlets"
"Tribunadebrasilia.com.br","Opinion journalism right"
"Tribunadenoticias.com.br","Regional/Local media outlets"
"Tribunadonordeste.com","Regional/Local media outlets"
"Tribunadopovo.com","Regional/Local media outlets"
"Tribunadosertao.com.br","Regional/Local media outlets"
"Tribunadovale.com.br","Regional/Local media outlets"
"Tribunahoje.com","Regional/Local media outlets"
"Tribunanacional.com.br","Opinion journalism right"
"Tribunaonline.com.br","Regional/Local media outlets"
"Tribunapopular.com.br","Regional/Local media outlets"
"Tribunapopulargbi.com.br","Regional/Local media outlets"
"Tribunaregionaldalapa.com.br","Regional/Local media outlets"
"Tvbolsonaropresidente.com","Regional/Local media outlets"
"Tvcultura.com.br","Center"
"Uai.com.br","Center"
"Ultimosfatos.com.br","Regional/Local media outlets"
"Unaids.org.br","Center"
"Uneafrobrasil.org","Specific progressive themes"
"Uol.com.br","Hyper center media"
"Valor.com.br","Center"
"Vangfm.com.br","Regional/Local media outlets"
"Verdesmares.com.br","Center"
"Vidadestra.org","Opinion journalism right"
"Viomundo.com.br","Opinion journalism left"
"Vladimirherzog.org","Specific progressive themes"
"Voltagrandeonline.com.br","Regional/Local media outlets"
"Vozdascomunidades.com.br","Specific progressive themes"
"Vozdobico.com.br","Regional/Local media outlets"
"Vozdonorte.com.br","Regional/Local media outlets"
"Vozdoplanalto.com.br","Center"
"Www.gov.br /.../noticias","Center"
"Yahoo.com.br","Center"
"Zedudu.com.br","Regional/Local media outlets"
"abrilveja.Wordpress.com","Regional/Local media outlets"
"band.Uol.com.br","Center"
"band.Uol.com.br /bandnews-fm","Center"
"diariooficial","Hyper center media"
"folha.Uol.com.br","Hyper center media"
"noticias.Yahoo.com","Center"
"redetv.Uol.com.br","Center"
"universal.org","Regional/Local media outlets"
"veja.Abril.com.br","Center"
