"media","SBM category label"
"A-Folhadovale.com","Center"
"A12.com","Regional/Local media outlets"
"Abril.com.br","Center"
"Acidadeon.com","Center"
"Acidigital.com","Opinion journalism right"
"Acmanchete.com","Regional/Local media outlets"
"Acreaovivo.com","Regional/Local media outlets"
"Acritica.com","Center"
"Acritica.net","Center"
"Aer.mil.br","Center"
"Afolhadolitoral.com.br","Regional/Local media outlets"
"Afolhadomedionorte.com.br","Regional/Local media outlets"
"Afolhadosul.com.br","Regional/Local media outlets"
"Afp.com","Center"
"Agazetadoamapa.com.br","Regional/Local media outlets"
"Agazetadovale.com.br","Regional/Local media outlets"
"Agazetanews.com.br","Regional/Local media outlets"
"Agenciaeconordeste.com.br","Specific progressive themes"
"Agora-To.com.br","Regional/Local media outlets"
"Agoralitoral.com.br","Regional/Local media outlets"
"Agoranoticiasbrasil.com.br","Opinion journalism right"
"Agoraparana.com.br","Regional/Local media outlets"
"Agorarn.com.br","Center"
"Agorasantaines.com.br","Regional/Local media outlets"
"Ajn1.com.br","Regional/Local media outlets"
"Aleteia.org","Opinion journalism right"
"Aliadosbrasiloficial.com.br","Opinion journalism right"
"Alibertadora.com.br","Regional/Local media outlets"
"Almapreta.com","Specific progressive themes"
"Amazonasatual.com.br","Opinion journalism left"
"Amazonia.org.br","Specific progressive themes"
"Amazoniareal.com.br","Specific progressive themes"
"An10.com.br","Center"
"Anf.org.br","Specific progressive themes"
"Anoticiaalagoas.com.br","Regional/Local media outlets"
"Anoticiadovale.com","Regional/Local media outlets"
"Anovademocracia.com.br","Opinion journalism left"
"Aosfatos.org","Specific progressive themes"
"Apublica.org","Specific progressive themes"
"Aquinoticias.com","Regional/Local media outlets"
"Aregiao.com.br","Opinion journalism right"
"Aspta.org.br","Opinion journalism left"
"Atitudeto.com.br","Regional/Local media outlets"
"Atribuna.com","Regional/Local media outlets"
"Atribunanews.com.br","Regional/Local media outlets"
"Atribunarj.com.br","Regional/Local media outlets"
"Averdade.org.br","Specific progressive themes"
"Avozdaserra.com.br","Center"
"Azmina.com.br","Specific progressive themes"
"Bahianoticias.com.br","Regional/Local media outlets"
"Baraodeitarare.org.br /site","Opinion journalism left"
"Bemblogado.com.br","Opinion journalism left"
"Bemparana.com.br","Center"
"Bhaz.com.br","Specific progressive themes"
"Blogueirasnegras.org","Specific progressive themes"
"Bol.com.br","Center"
"Boletimdaliberdade.com.br","Opinion journalism right"
"Br104.com.br","Center"
"Brasil247.com","Opinion journalism left"
"Brasil61.com","Hyper center media"
"Brasilcontraacorrupcao.com","Opinion journalism right"
"Brasildefato.com.br","Opinion journalism left"
"Brasildefatomg.com.br","Opinion journalism left"
"Brasildefatope.com.br","Opinion journalism left"
"Brasildefators.com.br","Opinion journalism left"
"Brasiliaagora.com.br","Regional/Local media outlets"
"Brasilparalelo.com.br","Opinion journalism right"
"Brasilsemmedo.com","Opinion journalism right"
"Braziljournal.com","Center"
"Bsbcapital.com.br","Center"
"Caaraponews.com.br","Regional/Local media outlets"
"Camara.leg.br","Hyper center media"
"Campanha.org.br","Specific progressive themes"
"Campograndenews.com.br","Center"
"Canalibase.org.br","Opinion journalism left"
"Canalmynews.com.br","Specific progressive themes"
"Canalondalivre.com","Opinion journalism right"
"Caneta.org","Opinion journalism right"
"Capitaldoentorno.com.br","Regional/Local media outlets"
"Carajasojornal.com.br","Regional/Local media outlets"
"Cartacampinas.com.br","Opinion journalism left"
"Cartacapital.com.br","Opinion journalism left"
"Cartamaior.com.br","Opinion journalism left"
"Catracalivre.com.br","Center"
"Ccnewsbrasil.com","Regional/Local media outlets"
"Cedenpa.org.br","Specific progressive themes"
"Cenariomt.com.br","Regional/Local media outlets"
"Centrodenoticias.com.br","Regional/Local media outlets"
"Cfnoticia.com.br","Regional/Local media outlets"
"Ciclovivo.com.br","Center"
"Cliquef5.com.br","Regional/Local media outlets"
"Cnnbrasil.com.br","Hyper center media"
"Coletivocatarse.com.br","Opinion journalism left"
"Conexaoplaneta.com.br","Specific progressive themes"
"Conexaopolitica.com.br","Opinion journalism right"
"Conexaoto.com.br","Regional/Local media outlets"
"Conib.org.br","Center"
"Conservadorismodobrasil.com.br","Opinion journalism right"
"Contilnetnoticias.com.br","Regional/Local media outlets"
"Convergenciadigital.com.br","Center"
"Correio24Horas.com.br","Center"
"Correiobraziliense.com.br","Center"
"Correiocidadania.com.br","Opinion journalism left"
"Correiodecarajas.com.br","Regional/Local media outlets"
"Correiodematogrosso.com.br","Regional/Local media outlets"
