source,target,source_category,target_category
Abril.com.br,Forumseguranca.org.br,Center,Specific progressive themes
Abril.com.br,Ebc.com.br,Center,Hyper center media
Abril.com.br,Itaucultural.org.br,Center,Specific progressive themes
Abril.com.br,Exame.com,Center,Center
Abril.com.br,Globo.com,Center,Hyper center media
Abril.com.br,Camara.leg.br,Center,Hyper center media
Abril.com.br,Senado.leg.br,Center,Hyper center media
Abril.com.br,Metropoles.com,Center,Hyper center media
Abril.com.br,Nexojornal.com.br,Center,Specific progressive themes
Abril.com.br,Verdesmares.com.br,Center,Center
Abril.com.br,Braziljournal.com,Center,Center
Abril.com.br,Midianinja.org,Center,Specific progressive themes
Abril.com.br,Almapreta.com,Center,Specific progressive themes
Abril.com.br,Azmina.com.br,Center,Specific progressive themes
Abril.com.br,Opovo.com.br,Center,Center
Abril.com.br,diariooficial,Center,Hyper center media
Abril.com.br,Diariodepernambuco.com.br,Center,Center
Abril.com.br,Marinha.mil.br,Center,Hyper center media
Abril.com.br,Ciclovivo.com.br,Center,Center
Abril.com.br,A12.com,Center,Regional/Local media outlets
Abril.com.br,folha.Uol.com.br,Center,Hyper center media
Abril.com.br,Uol.com.br,Center,Hyper center media
Bol.com.br,Uol.com.br,Center,Hyper center media
Istoedinheiro.com.br,Istoe.com.br,Center,Center
Istoedinheiro.com.br,Dinheirorural.com.br,Center,Center
Istoedinheiro.com.br,Ebc.com.br,Center,Hyper center media
Istoedinheiro.com.br,Globo.com,Center,Hyper center media
Istoedinheiro.com.br,Camara.leg.br,Center,Hyper center media
Istoedinheiro.com.br,Senado.leg.br,Center,Hyper center media
Istoedinheiro.com.br,Uol.com.br,Center,Hyper center media
Correiobraziliense.com.br,Cnnbrasil.com.br,Center,Hyper center media
Correiobraziliense.com.br,Correioweb.com.br,Center,Center
Correiobraziliense.com.br,Abril.com.br,Center,Center
Correiobraziliense.com.br,Em.com.br,Center,Center
Correiobraziliense.com.br,Uai.com.br,Center,Center
Correiobraziliense.com.br,Ebc.com.br,Center,Hyper center media
Correiobraziliense.com.br,Globo.com,Center,Hyper center media
Correiobraziliense.com.br,Camara.leg.br,Center,Hyper center media
Correiobraziliense.com.br,Senado.leg.br,Center,Hyper center media
Correiobraziliense.com.br,Projetocomprova.com.br,Center,Specific progressive themes
Correiobraziliense.com.br,Metropoles.com,Center,Hyper center media
Correiobraziliense.com.br,Jovempan.com.br,Center,Center
Correiobraziliense.com.br,Oantagonista.com,Center,Opinion journalism right
Correiobraziliense.com.br,Mpf.mp.br,Center,Center
Correiobraziliense.com.br,diariooficial,Center,Hyper center media
Correiobraziliense.com.br,Marinha.mil.br,Center,Hyper center media
Correiobraziliense.com.br,Eb.mil.br,Center,Regional/Local media outlets
Correiobraziliense.com.br,Yahoo.com.br,Center,Center
Correiobraziliense.com.br,Aer.mil.br,Center,Center
Correiobraziliense.com.br,folha.Uol.com.br,Center,Hyper center media
Correiobraziliense.com.br,Uol.com.br,Center,Hyper center media
Em.com.br,Correioweb.com.br,Center,Center
Em.com.br,Istoedinheiro.com.br,Center,Center
Em.com.br,Correiobraziliense.com.br,Center,Center
Em.com.br,Uai.com.br,Center,Center
Em.com.br,Ebc.com.br,Center,Hyper center media
Em.com.br,Globo.com,Center,Hyper center media
Em.com.br,Camara.leg.br,Center,Hyper center media
Em.com.br,Senado.leg.br,Center,Hyper center media
Em.com.br,Aosfatos.org,Center,Specific progressive themes
Em.com.br,Afp.com,Center,Center
Em.com.br,Jovempan.com.br,Center,Center
Em.com.br,Infomoney.com.br,Center,Center
Em.com.br,Fab.mil.br,Center,Regional/Local media outlets
Em.com.br,Marinha.mil.br,Center,Hyper center media
Em.com.br,Jornalcidademg.com.br,Center,Center
Em.com.br,Yahoo.com.br,Center,Center
Em.com.br,folha.Uol.com.br,Center,Hyper center media
Em.com.br,Uol.com.br,Center,Hyper center media
Uai.com.br,veja.Abril.com.br,Center,Center
Uai.com.br,Cnnbrasil.com.br,Center,Hyper center media
Uai.com.br,R7.com,Center,Hyper center media
Uai.com.br,Correioweb.com.br,Center,Center
Uai.com.br,Bol.com.br,Center,Center
Uai.com.br,Istoedinheiro.com.br,Center,Center
Uai.com.br,Correiobraziliense.com.br,Center,Center
Uai.com.br,Em.com.br,Center,Center
Uai.com.br,Ebc.com.br,Center,Hyper center media
Uai.com.br,Globo.com,Center,Hyper center media
Uai.com.br,noticias.Yahoo.com,Center,Center
Uai.com.br,Oantagonista.com,Center,Opinion journalism right
Uai.com.br,Ig.com.br,Center,Hyper center media
Uai.com.br,Gazetadopovo.com.br,Center,Opinion journalism right
Uai.com.br,Gazetaonline.com.br,Center,Regional/Local media outlets
Uai.com.br,Otempo.com.br,Center,Center
Uai.com.br,Noticiasagricolas.com.br,Center,Opinion journalism right
Uai.com.br,Imirante.com,Center,Center
Uai.com.br,Jornalcidademg.com.br,Center,Center
Uai.com.br,Diariodigital.com.br,Center,Regional/Local media outlets
Uai.com.br,Yahoo.com.br,Center,Center
Uai.com.br,Theintercept.com /brasil,Center,Specific progressive themes
Uai.com.br,folha.Uol.com.br,Center,Hyper center media
Uai.com.br,Uol.com.br,Center,Hyper center media
Forumseguranca.org.br,R7.com,Specific progressive themes,Hyper center media
Forumseguranca.org.br,Ebc.com.br,Specific progressive themes,Hyper center media
Forumseguranca.org.br,Globo.com,Specific progressive themes,Hyper center media
Forumseguranca.org.br,Metropoles.com,Specific progressive themes,Hyper center media
Forumseguranca.org.br,Jota.info,Specific progressive themes,Center
Forumseguranca.org.br,Ig.com.br,Specific progressive themes,Hyper center media
Forumseguranca.org.br,Ponte.org,Specific progressive themes,Specific progressive themes
Forumseguranca.org.br,Redebrasilatual.com.br,Specific progressive themes,Opinion journalism left
Forumseguranca.org.br,Opovo.com.br,Specific progressive themes,Center
Forumseguranca.org.br,diariooficial,Specific progressive themes,Hyper center media
Forumseguranca.org.br,Gazetadigital.com.br,Specific progressive themes,Regional/Local media outlets
Forumseguranca.org.br,Social.org.br,Specific progressive themes,Opinion journalism left
Forumseguranca.org.br,Onumulheres.org.br,Specific progressive themes,Specific progressive themes
Forumseguranca.org.br,folha.Uol.com.br,Specific progressive themes,Hyper center media
Forumseguranca.org.br,Uol.com.br,Specific progressive themes,Hyper center media
Revistaoeste.com,Ebc.com.br,Opinion journalism right,Hyper center media
Revistaoeste.com,Globo.com,Opinion journalism right,Hyper center media
Revistaoeste.com,Camara.leg.br,Opinion journalism right,Hyper center media
Revistaoeste.com,Senado.leg.br,Opinion journalism right,Hyper center media
Revistaoeste.com,Metropoles.com,Opinion journalism right,Hyper center media
Revistaoeste.com,Poder360.com.br,Opinion journalism right,Center
Revistaoeste.com,Mpf.mp.br,Opinion journalism right,Center
Revistaoeste.com,diariooficial,Opinion journalism right,Hyper center media
Revistaoeste.com,Mises.org.br,Opinion journalism right,Opinion journalism right
Revistaoeste.com,Inpe.br,Opinion journalism right,Center
Revistaoeste.com,folha.Uol.com.br,Opinion journalism right,Hyper center media
Correiodopovo.com.br,R7.com,Regional/Local media outlets,Hyper center media
Correiodopovo.com.br,Olhardigital.com.br,Regional/Local media outlets,Center
Correiodopovo.com.br,Uol.com.br,Regional/Local media outlets,Hyper center media
Ebc.com.br,Camara.leg.br,Hyper center media,Hyper center media
Ebc.com.br,Eb.mil.br,Hyper center media,Regional/Local media outlets
Itaucultural.org.br,veja.Abril.com.br,Specific progressive themes,Center
Itaucultural.org.br,Istoe.com.br,Specific progressive themes,Center
Itaucultural.org.br,Abril.com.br,Specific progressive themes,Center
Itaucultural.org.br,Em.com.br,Specific progressive themes,Center
Itaucultural.org.br,Tecmundo.com.br,Specific progressive themes,Center
Itaucultural.org.br,Globo.com,Specific progressive themes,Hyper center media
Itaucultural.org.br,Camara.leg.br,Specific progressive themes,Hyper center media
Itaucultural.org.br,Senado.leg.br,Specific progressive themes,Hyper center media
Itaucultural.org.br,Terra.com.br,Specific progressive themes,Hyper center media
Itaucultural.org.br,Poder360.com.br,Specific progressive themes,Center
Itaucultural.org.br,Cartacapital.com.br,Specific progressive themes,Opinion journalism left
Itaucultural.org.br,Revistaforum.com.br,Specific progressive themes,Opinion journalism left
Itaucultural.org.br,Folha.com.br,Specific progressive themes,Center
Itaucultural.org.br,Opopular.com.br,Specific progressive themes,Center
Itaucultural.org.br,Brasildefato.com.br,Specific progressive themes,Opinion journalism left
Itaucultural.org.br,Jornalopcao.com.br,Specific progressive themes,Center
Itaucultural.org.br,Amazoniareal.com.br,Specific progressive themes,Specific progressive themes
Itaucultural.org.br,Anf.org.br,Specific progressive themes,Specific progressive themes
Itaucultural.org.br,Geledes.org.br,Specific progressive themes,Specific progressive themes
Itaucultural.org.br,Vladimirherzog.org,Specific progressive themes,Specific progressive themes
Itaucultural.org.br,Acritica.com,Specific progressive themes,Center
Itaucultural.org.br,Tvcultura.com.br,Specific progressive themes,Center
Itaucultural.org.br,folha.Uol.com.br,Specific progressive themes,Hyper center media
Itaucultural.org.br,Uol.com.br,Specific progressive themes,Hyper center media
Exame.com,veja.Abril.com.br,Center,Center
Exame.com,Abril.com.br,Center,Center
Exame.com,Forumseguranca.org.br,Center,Specific progressive themes
Exame.com,Jornaldebrasilia.com.br,Center,Center
Exame.com,Ebc.com.br,Center,Hyper center media
Exame.com,Globo.com,Center,Hyper center media
Exame.com,Senado.leg.br,Center,Hyper center media
Exame.com,Olhardigital.com.br,Center,Center
Exame.com,Jota.info,Center,Center
Exame.com,Poder360.com.br,Center,Center
Exame.com,Nexojornal.com.br,Center,Specific progressive themes
Exame.com,Gazetadopovo.com.br,Center,Opinion journalism right
Exame.com,Braziljournal.com,Center,Center
Exame.com,Institutomillenium.org.br,Center,Opinion journalism right
Exame.com,Mpf.mp.br,Center,Center
Exame.com,Yahoo.com.br,Center,Center
Exame.com,Uol.com.br,Center,Hyper center media
Globo.com,Itaucultural.org.br,Hyper center media,Specific progressive themes
Globo.com,Camara.leg.br,Hyper center media,Hyper center media
Globo.com,Techtudo.com.br,Hyper center media,Regional/Local media outlets
Globo.com,Aosfatos.org,Hyper center media,Specific progressive themes
Globo.com,Afp.com,Hyper center media,Center
Globo.com,Valor.com.br,Hyper center media,Center
Globo.com,Nsctotal.com.br,Hyper center media,Center
Globo.com,Opovo.com.br,Hyper center media,Center
Globo.com,Marinha.mil.br,Hyper center media,Hyper center media
Globo.com,Idec.org.br,Hyper center media,Specific progressive themes
Globo.com,Gazetaonline.com.br,Hyper center media,Regional/Local media outlets
Globo.com,Oeco.org.br,Hyper center media,Specific progressive themes
Globo.com,Inpe.br,Hyper center media,Center
Globo.com,Infoamazonia.org,Hyper center media,Specific progressive themes
Globo.com,Yahoo.com.br,Hyper center media,Center
Globo.com,Aer.mil.br,Hyper center media,Center
Camara.leg.br,Senado.leg.br,Hyper center media,Hyper center media
Camara.leg.br,Mpf.mp.br,Hyper center media,Center
Diariodocentrodomundo.com.br,veja.Abril.com.br,Opinion journalism left,Center
Diariodocentrodomundo.com.br,Abril.com.br,Opinion journalism left,Center
Diariodocentrodomundo.com.br,Globo.com,Opinion journalism left,Hyper center media
Diariodocentrodomundo.com.br,Senado.leg.br,Opinion journalism left,Hyper center media
Diariodocentrodomundo.com.br,Metropoles.com,Opinion journalism left,Hyper center media
Diariodocentrodomundo.com.br,Poder360.com.br,Opinion journalism left,Center
Diariodocentrodomundo.com.br,Ig.com.br,Opinion journalism left,Hyper center media
Diariodocentrodomundo.com.br,Revistaforum.com.br,Opinion journalism left,Opinion journalism left
Diariodocentrodomundo.com.br,Otempo.com.br,Opinion journalism left,Center
Diariodocentrodomundo.com.br,Outraspalavras.net,Opinion journalism left,Opinion journalism left
Diariodocentrodomundo.com.br,Jornalopcao.com.br,Opinion journalism left,Center
Diariodocentrodomundo.com.br,Ocafezinho.com,Opinion journalism left,Opinion journalism left
Diariodocentrodomundo.com.br,folha.Uol.com.br,Opinion journalism left,Hyper center media
Diariodocentrodomundo.com.br,Uol.com.br,Opinion journalism left,Hyper center media
Senado.leg.br,veja.Abril.com.br,Hyper center media,Center
Senado.leg.br,Cnnbrasil.com.br,Hyper center media,Hyper center media
Senado.leg.br,R7.com,Hyper center media,Hyper center media
Senado.leg.br,Istoe.com.br,Hyper center media,Center
Senado.leg.br,Abril.com.br,Hyper center media,Center
Senado.leg.br,Correiobraziliense.com.br,Hyper center media,Center
Senado.leg.br,Em.com.br,Hyper center media,Center
Senado.leg.br,Forumseguranca.org.br,Hyper center media,Specific progressive themes
Senado.leg.br,Jornaldebrasilia.com.br,Hyper center media,Center
Senado.leg.br,Folhavitoria.com.br,Hyper center media,Regional/Local media outlets
Senado.leg.br,Ebc.com.br,Hyper center media,Hyper center media
Senado.leg.br,Globo.com,Hyper center media,Hyper center media
Senado.leg.br,Camara.leg.br,Hyper center media,Hyper center media
Senado.leg.br,Terra.com.br,Hyper center media,Hyper center media
Senado.leg.br,Metropoles.com,Hyper center media,Hyper center media
Senado.leg.br,Jovempan.com.br,Hyper center media,Center
Senado.leg.br,Jb.com.br,Hyper center media,Opinion journalism left
Senado.leg.br,Poder360.com.br,Hyper center media,Center
Senado.leg.br,noticias.Yahoo.com,Hyper center media,Center
Senado.leg.br,Dci.com.br,Hyper center media,Opinion journalism right
Senado.leg.br,Oantagonista.com,Hyper center media,Opinion journalism right
Senado.leg.br,Ig.com.br,Hyper center media,Hyper center media
Senado.leg.br,Nexojornal.com.br,Hyper center media,Specific progressive themes
Senado.leg.br,Gazetadopovo.com.br,Hyper center media,Opinion journalism right
Senado.leg.br,Mpf.mp.br,Hyper center media,Center
Senado.leg.br,diariooficial,Hyper center media,Hyper center media
Senado.leg.br,Cartacapital.com.br,Hyper center media,Opinion journalism left
Senado.leg.br,Hojeemdia.com.br,Hyper center media,Center
Senado.leg.br,Infomoney.com.br,Hyper center media,Center
Senado.leg.br,Folhape.com.br,Hyper center media,Center
Senado.leg.br,Otempo.com.br,Hyper center media,Center
Senado.leg.br,Diariodocomercio.com.br,Hyper center media,Regional/Local media outlets
Senado.leg.br,Correiodoestado.com.br,Hyper center media,Regional/Local media outlets
Senado.leg.br,Catracalivre.com.br,Hyper center media,Center
Senado.leg.br,Observatoriodaimprensa.com.br,Hyper center media,Specific progressive themes
Senado.leg.br,Geledes.org.br,Hyper center media,Specific progressive themes
Senado.leg.br,Ocafezinho.com,Hyper center media,Opinion journalism left
Senado.leg.br,Onumulheres.org.br,Hyper center media,Specific progressive themes
Senado.leg.br,Rondoniadinamica.com,Hyper center media,Regional/Local media outlets
Senado.leg.br,folha.Uol.com.br,Hyper center media,Hyper center media
Senado.leg.br,Uol.com.br,Hyper center media,Hyper center media
Olhardigital.com.br,Abril.com.br,Center,Center
Olhardigital.com.br,Correiobraziliense.com.br,Center,Center
Olhardigital.com.br,Forumseguranca.org.br,Center,Specific progressive themes
Olhardigital.com.br,Ebc.com.br,Center,Hyper center media
Olhardigital.com.br,Exame.com,Center,Center
Olhardigital.com.br,Globo.com,Center,Hyper center media
Olhardigital.com.br,Senado.leg.br,Center,Hyper center media
Olhardigital.com.br,Infomoney.com.br,Center,Center
Olhardigital.com.br,Convergenciadigital.com.br,Center,Center
Olhardigital.com.br,folha.Uol.com.br,Center,Hyper center media
Olhardigital.com.br,Uol.com.br,Center,Hyper center media
Techtudo.com.br,Ebc.com.br,Regional/Local media outlets,Hyper center media
Techtudo.com.br,Globo.com,Regional/Local media outlets,Hyper center media
Techtudo.com.br,Tecnoblog.net,Regional/Local media outlets,Center
Terra.com.br,Istoe.com.br,Hyper center media,Center
Terra.com.br,Istoedinheiro.com.br,Hyper center media,Center
Terra.com.br,Globo.com,Hyper center media,Hyper center media
Terra.com.br,Camara.leg.br,Hyper center media,Hyper center media
Terra.com.br,Poder360.com.br,Hyper center media,Center
Terra.com.br,Ponte.org,Hyper center media,Specific progressive themes
Terra.com.br,Tecnoblog.net,Hyper center media,Center
Terra.com.br,Fdr.com.br,Hyper center media,Regional/Local media outlets
Terra.com.br,Anf.org.br,Hyper center media,Specific progressive themes
Terra.com.br,Fiquemsabendo.com.br,Hyper center media,Specific progressive themes
Terra.com.br,Rd1.com.br,Hyper center media,Center
Terra.com.br,Uol.com.br,Hyper center media,Hyper center media
Oimparcial.com.br,Ebc.com.br,Regional/Local media outlets,Hyper center media
Aosfatos.org,veja.Abril.com.br,Specific progressive themes,Center
Aosfatos.org,Cnnbrasil.com.br,Specific progressive themes,Hyper center media
Aosfatos.org,R7.com,Specific progressive themes,Hyper center media
Aosfatos.org,Estadao.com.br,Specific progressive themes,Center
Aosfatos.org,Istoe.com.br,Specific progressive themes,Center
Aosfatos.org,Abril.com.br,Specific progressive themes,Center
Aosfatos.org,Istoedinheiro.com.br,Specific progressive themes,Center
Aosfatos.org,Correiobraziliense.com.br,Specific progressive themes,Center
Aosfatos.org,Em.com.br,Specific progressive themes,Center
Aosfatos.org,Forumseguranca.org.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,Tecmundo.com.br,Specific progressive themes,Center
Aosfatos.org,Ebc.com.br,Specific progressive themes,Hyper center media
Aosfatos.org,Exame.com,Specific progressive themes,Center
Aosfatos.org,Globo.com,Specific progressive themes,Hyper center media
Aosfatos.org,Camara.leg.br,Specific progressive themes,Hyper center media
Aosfatos.org,Senado.leg.br,Specific progressive themes,Hyper center media
Aosfatos.org,Techtudo.com.br,Specific progressive themes,Regional/Local media outlets
Aosfatos.org,Terra.com.br,Specific progressive themes,Hyper center media
Aosfatos.org,Afp.com,Specific progressive themes,Center
Aosfatos.org,Metropoles.com,Specific progressive themes,Hyper center media
Aosfatos.org,Jovempan.com.br,Specific progressive themes,Center
Aosfatos.org,Jota.info,Specific progressive themes,Center
Aosfatos.org,Poder360.com.br,Specific progressive themes,Center
Aosfatos.org,Valor.com.br,Specific progressive themes,Center
Aosfatos.org,Oantagonista.com,Specific progressive themes,Opinion journalism right
Aosfatos.org,Ig.com.br,Specific progressive themes,Hyper center media
Aosfatos.org,Nexojornal.com.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,Ponte.org,Specific progressive themes,Specific progressive themes
Aosfatos.org,Nsctotal.com.br,Specific progressive themes,Center
Aosfatos.org,Gazetadopovo.com.br,Specific progressive themes,Opinion journalism right
Aosfatos.org,Redebrasilatual.com.br,Specific progressive themes,Opinion journalism left
Aosfatos.org,Mpf.mp.br,Specific progressive themes,Center
Aosfatos.org,Almapreta.com,Specific progressive themes,Specific progressive themes
Aosfatos.org,Azmina.com.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,diariooficial,Specific progressive themes,Hyper center media
Aosfatos.org,Apublica.org,Specific progressive themes,Specific progressive themes
Aosfatos.org,Diariodepernambuco.com.br,Specific progressive themes,Center
Aosfatos.org,Infomoney.com.br,Specific progressive themes,Center
Aosfatos.org,Fab.mil.br,Specific progressive themes,Regional/Local media outlets
Aosfatos.org,Folhape.com.br,Specific progressive themes,Center
Aosfatos.org,Idec.org.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,Gazetaonline.com.br,Specific progressive themes,Regional/Local media outlets
Aosfatos.org,Otempo.com.br,Specific progressive themes,Center
Aosfatos.org,Brasildefato.com.br,Specific progressive themes,Opinion journalism left
Aosfatos.org,Oeco.org.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,Inpe.br,Specific progressive themes,Center
Aosfatos.org,Acidadeon.com,Specific progressive themes,Center
Aosfatos.org,Oantagonista.net,Specific progressive themes,Opinion journalism right
Aosfatos.org,Jornalopcao.com.br,Specific progressive themes,Center
Aosfatos.org,Reporterbrasil.org.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,Amazoniareal.com.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,Marcozero.org,Specific progressive themes,Specific progressive themes
Aosfatos.org,Periferiaemmovimento.com.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,Projetocolabora.com.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,Nucleo.jor.br,Specific progressive themes,Specific progressive themes
Aosfatos.org,Jornalboavista.com.br,Specific progressive themes,Regional/Local media outlets
Aosfatos.org,Yahoo.com.br,Specific progressive themes,Center
Aosfatos.org,Www.gov.br /.../noticias,Specific progressive themes,Center
Aosfatos.org,folha.Uol.com.br,Specific progressive themes,Hyper center media
Aosfatos.org,Uol.com.br,Specific progressive themes,Hyper center media
Metropoles.com,Cnnbrasil.com.br,Hyper center media,Hyper center media
Metropoles.com,Tecmundo.com.br,Hyper center media,Center
Metropoles.com,Globo.com,Hyper center media,Hyper center media
Metropoles.com,Camara.leg.br,Hyper center media,Hyper center media
Metropoles.com,Senado.leg.br,Hyper center media,Hyper center media
Metropoles.com,Projetocomprova.com.br,Hyper center media,Specific progressive themes
Metropoles.com,Dci.com.br,Hyper center media,Opinion journalism right
Metropoles.com,Oantagonista.com,Hyper center media,Opinion journalism right
Metropoles.com,Ig.com.br,Hyper center media,Hyper center media
Metropoles.com,Nsctotal.com.br,Hyper center media,Center
Metropoles.com,Marinha.mil.br,Hyper center media,Hyper center media
Metropoles.com,Outraspalavras.net,Hyper center media,Opinion journalism left
Metropoles.com,Deolhonosruralistas.com.br,Hyper center media,Specific progressive themes
Metropoles.com,Rdnews.com.br,Hyper center media,Regional/Local media outlets
Metropoles.com,Bhaz.com.br,Hyper center media,Specific progressive themes
Metropoles.com,Brasildefatomg.com.br,Hyper center media,Opinion journalism left
Metropoles.com,Transparencia.org.br,Hyper center media,Specific progressive themes
Metropoles.com,Itatiaia.com.br,Hyper center media,Regional/Local media outlets
Metropoles.com,Bahianoticias.com.br,Hyper center media,Regional/Local media outlets
Metropoles.com,Jornalnh.com.br,Hyper center media,Regional/Local media outlets
Metropoles.com,folha.Uol.com.br,Hyper center media,Hyper center media
Metropoles.com,Uol.com.br,Hyper center media,Hyper center media
Jovempan.com.br,Flipboard.com,Center,Center
Jovempan.com.br,Globo.com,Center,Hyper center media
Jovempan.com.br,Camara.leg.br,Center,Hyper center media
Jovempan.com.br,Senado.leg.br,Center,Hyper center media
Jovempan.com.br,Poder360.com.br,Center,Center
Jovempan.com.br,folha.Uol.com.br,Center,Hyper center media
Jovempan.com.br,Uol.com.br,Center,Hyper center media
Jota.info,veja.Abril.com.br,Center,Center
Jota.info,Cnnbrasil.com.br,Center,Hyper center media
Jota.info,R7.com,Center,Hyper center media
Jota.info,Istoe.com.br,Center,Center
Jota.info,Abril.com.br,Center,Center
Jota.info,Ebc.com.br,Center,Hyper center media
Jota.info,Globo.com,Center,Hyper center media
Jota.info,Camara.leg.br,Center,Hyper center media
Jota.info,Senado.leg.br,Center,Hyper center media
Jota.info,Jovempan.com.br,Center,Center
Jota.info,Poder360.com.br,Center,Center
Jota.info,Nexojornal.com.br,Center,Specific progressive themes
Jota.info,Nsctotal.com.br,Center,Center
Jota.info,Migalhas.com.br,Center,Center
Jota.info,Mpf.mp.br,Center,Center
Jota.info,diariooficial,Center,Hyper center media
Jota.info,Tecnoblog.net,Center,Center
Jota.info,Idec.org.br,Center,Specific progressive themes
Jota.info,folha.Uol.com.br,Center,Hyper center media
Jota.info,Uol.com.br,Center,Hyper center media
Jb.com.br,Sbt.com.br,Opinion journalism left,Center
Jb.com.br,Ebc.com.br,Opinion journalism left,Hyper center media
Jb.com.br,Globo.com,Opinion journalism left,Hyper center media
Jb.com.br,Metropoles.com,Opinion journalism left,Hyper center media
Jb.com.br,Oantagonista.com,Opinion journalism left,Opinion journalism right
Jb.com.br,Almapreta.com,Opinion journalism left,Specific progressive themes
Jb.com.br,Opovo.com.br,Opinion journalism left,Center
Jb.com.br,Revistaforum.com.br,Opinion journalism left,Opinion journalism left
Jb.com.br,Hojeemdia.com.br,Opinion journalism left,Center
Jb.com.br,Uol.com.br,Opinion journalism left,Hyper center media
Recordnewstv.com.br,R7.com,Regional/Local media outlets,Hyper center media
Todahoraweb.com,Fab.mil.br,Regional/Local media outlets,Regional/Local media outlets
band.Uol.com.br /bandnews-fm,Uol.com.br,Center,Hyper center media
noticias.Yahoo.com,Yahoo.com.br,Center,Center
Dci.com.br,Ebc.com.br,Opinion journalism right,Hyper center media
Dci.com.br,Globo.com,Opinion journalism right,Hyper center media
Dci.com.br,Camara.leg.br,Opinion journalism right,Hyper center media
Valor.com.br,Globo.com,Center,Hyper center media
Oantagonista.com,Camara.leg.br,Opinion journalism right,Hyper center media
Oantagonista.com,Crusoe.com.br,Opinion journalism right,Opinion journalism right
Oantagonista.com,Oantagonista.net,Opinion journalism right,Opinion journalism right
Ig.com.br,Cnnbrasil.com.br,Hyper center media,Hyper center media
Ig.com.br,Istoedinheiro.com.br,Hyper center media,Center
Ig.com.br,Em.com.br,Hyper center media,Center
Ig.com.br,Ebc.com.br,Hyper center media,Hyper center media
Ig.com.br,Globo.com,Hyper center media,Hyper center media
Ig.com.br,Diariodocentrodomundo.com.br,Hyper center media,Opinion journalism left
Ig.com.br,Olhardigital.com.br,Hyper center media,Center
Ig.com.br,Projetocomprova.com.br,Hyper center media,Specific progressive themes
Ig.com.br,Aosfatos.org,Hyper center media,Specific progressive themes
Ig.com.br,Afp.com,Hyper center media,Center
Ig.com.br,Metropoles.com,Hyper center media,Hyper center media
Ig.com.br,Poder360.com.br,Hyper center media,Center
Ig.com.br,Revistaforum.com.br,Hyper center media,Opinion journalism left
Ig.com.br,Infomoney.com.br,Hyper center media,Center
Ig.com.br,Marinha.mil.br,Hyper center media,Hyper center media
Ig.com.br,Tecnoblog.net,Hyper center media,Center
Ig.com.br,Emtempo.com.br,Hyper center media,Regional/Local media outlets
Ig.com.br,Amazonasatual.com.br,Hyper center media,Opinion journalism left
Ig.com.br,Otvfoco.com.br,Hyper center media,Regional/Local media outlets
Ig.com.br,Correiodecarajas.com.br,Hyper center media,Regional/Local media outlets
Ig.com.br,Aer.mil.br,Hyper center media,Center
