source,target,source_category,target_category
veja.Abril.com.br,Abril.com.br,Center,Center
veja.Abril.com.br,Exame.com,Center,Center
veja.Abril.com.br,abrilveja.Wordpress.com,Center,Regional/Local media outlets
veja.Abril.com.br,Camara.leg.br,Center,Hyper center media
veja.Abril.com.br,folha.Uol.com.br,Center,Hyper center media
band.Uol.com.br,Uol.com.br,Center,Hyper center media
Cnnbrasil.com.br,Flipboard.com,Hyper center media,Center
Cnnbrasil.com.br,Ebc.com.br,Hyper center media,Hyper center media
Cnnbrasil.com.br,Itaucultural.org.br,Hyper center media,Specific progressive themes
R7.com,Revistaoeste.com,Hyper center media,Opinion journalism right
R7.com,Tecmundo.com.br,Hyper center media,Center
R7.com,Jornaldebrasilia.com.br,Hyper center media,Center
R7.com,Folhavitoria.com.br,Hyper center media,Regional/Local media outlets
R7.com,Correiodopovo.com.br,Hyper center media,Regional/Local media outlets
R7.com,Globo.com,Hyper center media,Hyper center media
R7.com,Diariodigital.com.br,Hyper center media,Regional/Local media outlets
Correioweb.com.br,Cnnbrasil.com.br,Center,Hyper center media
Correioweb.com.br,Correiobraziliense.com.br,Center,Center
Correioweb.com.br,Em.com.br,Center,Center
Correioweb.com.br,Uai.com.br,Center,Center
Correioweb.com.br,Forumseguranca.org.br,Center,Specific progressive themes
Correioweb.com.br,Yahoo.com.br,Center,Center
Correioweb.com.br,Uol.com.br,Center,Hyper center media
Istoe.com.br,Dinheirorural.com.br,Center,Center
Istoe.com.br,Istoedinheiro.com.br,Center,Center
Istoe.com.br,Ebc.com.br,Center,Hyper center media
Istoe.com.br,Globo.com,Center,Hyper center media
Istoe.com.br,Metropoles.com,Center,Hyper center media
Istoe.com.br,Ig.com.br,Center,Hyper center media
Istoe.com.br,folha.Uol.com.br,Center,Hyper center media
Istoe.com.br,Uol.com.br,Center,Hyper center media
Abril.com.br,veja.Abril.com.br,Center,Center
Abril.com.br,Cnnbrasil.com.br,Center,Hyper center media
Abril.com.br,Correiobraziliense.com.br,Center,Center
